,BBDD,Recontrol,Cantidad,Porcentaje (%),var,Sector
0,B,B,830504,88.57,N_TM102,1
1,MC,MC,48594,5.18,N_TM102,1
2,D,B,28968,3.09,N_TM102,1
3,B,D,17946,1.91,N_TM102,1
4,D,D,5148,0.55,N_TM102,1
5,M,M,2901,0.31,N_TM102,1
6,MC,D,1792,0.19,N_TM102,1
7,B,M,1103,0.12,N_TM102,1
8,MC,M,326,0.03,N_TM102,1
9,D,M,242,0.03,N_TM102,1
10,M,D,66,0.01,N_TM102,1
11,M,B,60,0.01,N_TM102,1
0,B,B,799508,86.19,N_TM103,1
1,MC,MC,45064,4.86,N_TM103,1
2,D,B,24906,2.68,N_TM103,1
3,B,D,21778,2.35,N_TM103,1
4,B,M,21048,2.27,N_TM103,1
5,D,D,7285,0.79,N_TM103,1
6,M,M,4892,0.53,N_TM103,1
7,MC,D,1598,0.17,N_TM103,1
8,D,M,866,0.09,N_TM103,1
9,MC,M,523,0.06,N_TM103,1
10,M,D,98,0.01,N_TM103,1
11,M,B,71,0.01,N_TM103,1
0,B,B,735741,88.77,N_TM104,1
1,D,B,38820,4.68,N_TM104,1
2,B,D,17538,2.12,N_TM104,1
3,MC,MC,16271,1.96,N_TM104,1
4,B,M,8859,1.07,N_TM104,1
5,D,D,5526,0.67,N_TM104,1
6,M,M,4195,0.51,N_TM104,1
7,MC,D,905,0.11,N_TM104,1
8,MC,M,400,0.05,N_TM104,1
9,D,M,378,0.05,N_TM104,1
10,M,D,116,0.01,N_TM104,1
11,M,B,75,0.01,N_TM104,1
0,B,B,737959,89.69,N_TM105,1
1,D,B,25978,3.16,N_TM105,1
2,MC,MC,20766,2.52,N_TM105,1
3,B,D,15208,1.85,N_TM105,1
4,B,M,8422,1.02,N_TM105,1
5,M,M,7301,0.89,N_TM105,1
6,D,D,3552,0.43,N_TM105,1
7,D,M,1957,0.24,N_TM105,1
8,MC,D,755,0.09,N_TM105,1
9,MC,M,576,0.07,N_TM105,1
10,M,D,257,0.03,N_TM105,1
11,M,B,17,0.0,N_TM105,1
